A1-LCD-hub-timefreq-normalized,FUS-LCD-hub-timefreq-normalized,EWSR1-LCD-hub-timefreq-normalized,TIA1-LCD-hub-timefreq-normalized
0.06,0.04,0.025,0.055
0.05,0.095,0.02,0.04
0.05,0.015,0.005,0.055
0.06,0.03,0.01,0.045
0.045,0.01,0.125,0.08
0.03,0.07,0.08,0.055
0.015,0.06,0.075,0.07
0.08,0.02,0.05,0.03
0.03,0.02,0.05,0.015
0.065,0.065,0.015,0.045
0.08,0.03,0.075,0.03
0.09,0.025,0.01,0.015
0.015,0.065,0.02,0.035
0.05,0.06,0.035,0.05
0.05,0.02,0.075,0.09
0.035,0.08,0.015,0.04
0.11,0.025,0.09,0.04
0.04,0.09,0.04,0.055
0.07,0.02,0.02,0.09
0.09,0.03,0.055,0.065
0.03,0.01,0.085,0.045
0.045,0.045,0.025,0.03
0.03,0.02,0.03,0.03
0.07,0.06,0.04,0.02
0.075,0,0.06,0.05
0.05,0.075,0.145,0.03
0.07,0.055,0,0.025
0.05,0.025,0,0.045
0.065,0.04,0.045,0.04
0.05,0.025,0.055,0.025
0.03,0.02,0.06,0.02
0.025,0.055,0.055,0.085
0.05,0.06,0.04,0.04
0.065,0.005,0.005,0.045
0.085,0.095,0.015,0.03
0.06,0.04,0.03,0.05
0.065,0.035,0.025,0.045
0.015,0.05,0.015,0.065
0.02,0.06,0.14,0.05
0.045,0.075,0.065,0.01
0.045,0.105,0.135,0.03
0.055,0.05,0.13,0.04
0.065,0.02,0.17,0.035
0.05,0.04,0.055,0.03
0.05,0.06,0.055,0.045
0.005,0.005,0.05,0.05
0.09,0.065,0.08,0.04
0,0.08,0.055,0.04
0.015,0.075,0.07,0.02
0.045,0.09,0.165,0.05
0.005,0.07,0.06,0.07
0.055,0.08,0.035,0.06
0.05,0.055,0.085,0.045
0.055,0.04,0.015,0.085
0.04,0.07,0,0.015
0.045,0.075,0.035,0.04
0.04,0.03,0.075,0.06
0.02,0.04,0.03,0.065
0.045,0.075,0.035,0.05
0.03,0.025,0.055,0.06
0.025,0.04,0,0.05
0.06,0.03,0.09,0.075
0.095,0.005,0.135,0.02
0.075,0.065,0.035,0.03
0.05,0.025,0.215,0.06
0.04,0.07,0.055,0.045
0.055,0.085,0.02,0.075
0.05,0.02,0.035,0.02
0.06,0.055,0.09,0.065
0.05,0.035,0.045,0.035
0.005,0.03,0.04,0.055
0.025,0.115,0.04,0.055
0.04,0.085,0.02,0.09
0.03,0.065,0.045,0.06
0.07,0.035,0.02,0.03
0.065,0.025,0.05,0.08
0.06,0.005,0.04,0.045
0.125,0.05,0.07,0.06
0.045,0.035,0.035,0.035
0.025,0.045,0.055,0.065
0.02,0.01,0.125,0.055
0.135,0.02,0.07,0.05
0.035,0.015,0.08,0.025
0.055,0.085,0.01,0.045
0.03,0.05,0.035,0.105
0.045,0.11,0.015,0.045
0.065,0.02,0.04,0.02
0.05,0.045,0.025,0.06
0.01,0.055,0.045,0.02
0.04,0.015,0.075,0.025
0.025,0.03,0.03,0.025
0.02,0.045,0.12,0.035
0.085,0.09,0.02,0.04
0.035,0.08,0.1,0.065
0.03,0.025,0.035,0.07
0.015,0.045,0.075,0.075
0.035,0.055,0.07,0.03
0.075,0.07,0.025,0.035
0.02,0.07,0.065,0.04
0.055,0.01,0.02,0.035
0.05,0.05,0.04,0.045
0.01,0.06,0.005,0.025
0.155,0.065,0.05,0.09
0.035,0.03,0.02,0.03
0.025,0.015,0.08,0.02
0.05,0.025,0.01,0.06
0.055,0.055,0.195,0.05
0.015,0.045,0.02,0.045
0.035,0.04,0.03,0.045
0.05,0.035,0.035,0.05
0.12,0.015,0.035,0.025
0.02,0.02,0.01,0.07
0.065,0.05,0.075,0.025
0.03,0.05,0.075,0.055
0.015,0.1,0.015,0.03
0.04,0.045,0.03,0.025
0.045,0.11,0.025,0.045
0.08,0.03,0.055,0.09
0.04,0.115,0.065,0.06
0.04,0.035,0.015,0.06
